state_abbreviation,week,day,destination
AK,1,2020-01-01,100
AK,2,2020-01-06,148
AK,3,2020-01-13,160
AK,4,2020-01-20,120
AK,5,2020-01-27,77
AK,6,2020-02-03,90
AK,7,2020-02-10,109
AK,8,2020-02-17,122
AK,9,2020-02-24,150
AK,10,2020-03-02,221
AK,11,2020-03-09,220
AK,12,2020-03-16,227
AK,13,2020-03-23,260
AK,14,2020-03-30,76
AZ,1,2020-01-01,19
AZ,2,2020-01-06,41
AZ,3,2020-01-13,45
AZ,4,2020-01-20,22
AZ,5,2020-01-27,30
AZ,6,2020-02-03,26
AZ,7,2020-02-10,33
AZ,8,2020-02-17,43
AZ,9,2020-02-24,33
AZ,10,2020-03-02,39
AZ,11,2020-03-09,64
AZ,12,2020-03-16,50
AZ,13,2020-03-23,39
AZ,14,2020-03-31,2
CA,1,2020-01-01,658
CA,2,2020-01-06,872
CA,3,2020-01-13,768
CA,4,2020-01-20,633
CA,5,2020-01-27,735
CA,6,2020-02-03,797
CA,7,2020-02-10,774
CA,8,2020-02-17,854
CA,9,2020-02-24,803
CA,10,2020-03-02,784
CA,11,2020-03-09,859
CA,12,2020-03-16,665
CA,13,2020-03-23,358
CA,14,2020-03-30,63
CO,1,2020-01-03,1
CO,2,2020-01-06,11
CO,3,2020-01-13,10
CO,4,2020-01-21,16
CO,5,2020-01-27,18
CO,6,2020-02-03,15
CO,7,2020-02-10,12
CO,8,2020-02-17,18
CO,9,2020-02-24,11
CO,10,2020-03-02,9
CO,11,2020-03-09,16
CO,12,2020-03-16,8
CO,13,2020-03-25,4
CO,14,2020-03-30,1
DC,1,2020-01-01,105
DC,2,2020-01-06,156
DC,3,2020-01-13,159
DC,4,2020-01-20,148
DC,5,2020-01-27,169
DC,6,2020-02-03,171
DC,7,2020-02-10,163
DC,8,2020-02-17,171
DC,9,2020-02-24,179
DC,10,2020-03-02,184
DC,11,2020-03-09,179
DC,12,2020-03-16,123
DC,13,2020-03-23,42
DC,14,2020-03-30,10
FL,1,2020-01-01,236
FL,2,2020-01-06,308
FL,3,2020-01-13,356
FL,4,2020-01-20,315
FL,5,2020-01-27,362
FL,6,2020-02-03,368
FL,7,2020-02-10,369
FL,8,2020-02-17,382
FL,9,2020-02-24,362
FL,10,2020-03-02,297
FL,11,2020-03-09,336
FL,12,2020-03-16,200
FL,13,2020-03-23,106
FL,14,2020-03-30,29
GA,1,2020-01-01,105
GA,2,2020-01-06,148
GA,3,2020-01-13,160
GA,4,2020-01-20,155
GA,5,2020-01-27,168
GA,6,2020-02-03,180
GA,7,2020-02-10,178
GA,8,2020-02-17,185
GA,9,2020-02-24,178
GA,10,2020-03-02,165
GA,11,2020-03-09,171
GA,12,2020-03-16,105
GA,13,2020-03-23,64
GA,14,2020-03-30,17
IL,1,2020-01-01,189
IL,2,2020-01-06,235
IL,3,2020-01-13,223
IL,4,2020-01-20,213
IL,5,2020-01-27,239
IL,6,2020-02-03,208
IL,7,2020-02-10,218
IL,8,2020-02-17,249
IL,9,2020-02-24,253
IL,10,2020-03-02,250
IL,11,2020-03-09,232
IL,12,2020-03-16,184
IL,13,2020-03-23,128
IL,14,2020-03-30,27
IN,6,2020-02-04,2
IN,9,2020-02-27,1
KY,1,2020-01-01,16
KY,2,2020-01-06,26
KY,3,2020-01-13,27
KY,4,2020-01-21,22
KY,5,2020-01-28,19
KY,6,2020-02-03,31
KY,7,2020-02-10,17
KY,8,2020-02-17,26
KY,9,2020-02-24,26
KY,10,2020-03-02,30
KY,11,2020-03-09,24
KY,12,2020-03-16,23
KY,13,2020-03-23,38
KY,14,2020-03-30,6
MA,1,2020-01-01,104
MA,2,2020-01-06,125
MA,3,2020-01-13,123
MA,4,2020-01-20,116
MA,5,2020-01-27,126
MA,6,2020-02-03,123
MA,7,2020-02-10,128
MA,8,2020-02-17,122
MA,9,2020-02-24,123
MA,10,2020-03-02,131
MA,11,2020-03-09,119
MA,12,2020-03-16,78
MA,13,2020-03-23,24
MA,14,2020-03-30,5
MI,3,2020-01-18,1
MI,8,2020-02-23,1
MI,9,2020-02-26,1
MO,1,2020-01-05,1
MO,2,2020-01-10,1
MO,3,2020-01-18,2
MO,4,2020-01-21,3
MO,5,2020-01-30,1
MO,6,2020-02-03,1
MO,9,2020-02-28,2
MO,10,2020-03-06,1
MO,11,2020-03-13,1
MO,12,2020-03-16,1
MO,13,2020-03-28,1
MT,1,2020-01-03,2
MT,7,2020-02-11,1
NC,1,2020-01-02,21
NC,2,2020-01-06,37
NC,3,2020-01-13,22
NC,4,2020-01-20,29
NC,5,2020-01-27,41
NC,6,2020-02-03,38
NC,7,2020-02-10,41
NC,8,2020-02-17,41
NC,9,2020-02-24,41
NC,10,2020-03-02,43
NC,11,2020-03-09,37
NC,12,2020-03-16,3
NC,13,2020-03-25,3
NJ,1,2020-01-01,226
NJ,2,2020-01-06,290
NJ,3,2020-01-13,292
NJ,4,2020-01-20,264
NJ,5,2020-01-27,286
NJ,6,2020-02-03,293
NJ,7,2020-02-10,275
NJ,8,2020-02-17,302
NJ,9,2020-02-24,308
NJ,10,2020-03-02,308
NJ,11,2020-03-09,298
NJ,12,2020-03-16,205
NJ,13,2020-03-23,96
NJ,14,2020-03-30,15
NV,1,2020-01-01,43
NV,2,2020-01-06,91
NV,3,2020-01-13,79
NV,4,2020-01-20,21
NV,5,2020-01-27,23
NV,6,2020-02-03,42
NV,7,2020-02-10,50
NV,8,2020-02-17,73
NV,9,2020-02-24,40
NV,10,2020-03-02,38
NV,11,2020-03-09,75
NV,12,2020-03-16,41
NV,13,2020-03-23,24
NV,14,2020-03-30,1
NY,1,2020-01-01,390
NY,2,2020-01-06,539
NY,3,2020-01-13,517
NY,4,2020-01-20,484
NY,5,2020-01-27,554
NY,6,2020-02-03,563
NY,7,2020-02-10,541
NY,8,2020-02-17,589
NY,9,2020-02-24,560
NY,10,2020-03-02,520
NY,11,2020-03-09,490
NY,12,2020-03-16,261
NY,13,2020-03-23,121
NY,14,2020-03-30,19
OH,1,2020-01-04,1
OH,2,2020-01-06,7
OH,3,2020-01-13,13
OH,4,2020-01-20,6
OH,5,2020-01-27,6
OH,6,2020-02-03,6
OH,7,2020-02-10,5
OH,8,2020-02-17,3
OH,9,2020-02-25,4
OH,10,2020-03-02,5
OH,11,2020-03-09,5
OH,12,2020-03-17,4
OH,14,2020-03-30,1
PA,1,2020-01-01,65
PA,2,2020-01-06,84
PA,3,2020-01-13,84
PA,4,2020-01-20,82
PA,5,2020-01-27,76
PA,6,2020-02-03,74
PA,7,2020-02-10,73
PA,8,2020-02-17,80
PA,9,2020-02-24,79
PA,10,2020-03-02,84
PA,11,2020-03-09,72
PA,12,2020-03-16,22
PA,13,2020-03-24,10
PA,14,2020-03-31,2
PR,1,2020-01-04,1
TN,1,2020-01-02,4
TN,2,2020-01-06,7
TN,3,2020-01-13,6
TN,4,2020-01-20,6
TN,5,2020-01-27,7
TN,6,2020-02-03,4
TN,7,2020-02-10,6
TN,8,2020-02-17,4
TN,9,2020-02-24,7
TN,10,2020-03-02,4
TN,11,2020-03-09,6
TN,12,2020-03-16,1
TX,1,2020-01-01,86
TX,2,2020-01-06,113
TX,3,2020-01-13,119
TX,4,2020-01-20,119
TX,5,2020-01-27,133
TX,6,2020-02-03,121
TX,7,2020-02-10,126
TX,8,2020-02-17,134
TX,9,2020-02-24,126
TX,10,2020-03-02,121
TX,11,2020-03-09,124
TX,12,2020-03-16,73
TX,13,2020-03-23,30
TX,14,2020-03-30,6
UT,5,2020-01-31,1
UT,6,2020-02-05,1
UT,7,2020-02-16,1
UT,10,2020-03-06,3
UT,13,2020-03-23,1
VA,8,2020-02-20,1
VA,9,2020-02-29,1
VA,11,2020-03-15,1
VA,12,2020-03-22,1
VA,13,2020-03-26,1
WA,1,2020-01-01,94
WA,2,2020-01-06,120
WA,3,2020-01-13,109
WA,4,2020-01-20,82
WA,5,2020-01-27,113
WA,6,2020-02-03,114
WA,7,2020-02-10,115
WA,8,2020-02-17,115
WA,9,2020-02-24,106
WA,10,2020-03-02,117
WA,11,2020-03-09,117
WA,12,2020-03-16,86
WA,13,2020-03-23,63
WA,14,2020-03-30,17
WI,1,2020-01-04,1
WI,3,2020-01-17,2
WI,7,2020-02-11,2
WI,10,2020-03-07,1
WI,12,2020-03-16,1
