fip_code,gathering_size_500_to_101,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_10_0,school_closure,closing_of_public_venues,non-essential_services_closure,social_distancing,shelter_in_place,religious_gatherings_banned,lockdown
1,2020-03-13,2020-03-16,2020-03-19,2020-03-28,2020-03-20,2020-03-28,2020-03-28,2020-04-03,2020-04-04,2020-04-04,
2,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-16,2020-03-18,2020-03-28,2020-03-28,2020-03-28,2020-03-24,
4,,,,,2020-03-15,2020-03-31,2020-03-31,2020-03-31,2020-03-31,,
5,2020-03-27,2020-03-27,2020-03-27,2020-03-27,2020-03-19,2020-03-20,2020-04-06,2020-03-27,,,
6,2020-03-11,2020-03-16,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-19,2020-03-19,2020-03-19,2020-03-19,
8,2020-03-19,2020-03-19,2020-03-19,2020-03-19,2020-03-23,2020-03-19,2020-03-19,2020-03-19,2020-04-02,,
9,2020-03-12,2020-03-16,2020-03-26,2020-03-26,2020-03-15,2020-03-16,2020-03-23,2020-03-16,2020-03-20,2020-03-16,
10,2020-03-18,2020-03-18,2020-03-22,2020-03-22,2020-03-23,2020-03-16,2020-03-24,,2020-03-24,,
11,2020-03-16,2020-03-16,2020-03-25,2020-03-25,2020-03-16,2020-03-16,2020-03-25,2020-03-13,2020-04-01,2020-03-25,
12,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-03-17,2020-03-20,2020-04-03,2020-03-20,2020-04-03,,
13,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-18,2020-03-24,2020-04-03,2020-03-24,2020-04-03,,
15,2020-03-15,2020-03-15,2020-03-17,2020-03-17,2020-03-19,2020-03-17,2020-03-25,2020-03-17,2020-03-25,2020-03-17,
16,2020-03-25,2020-03-25,2020-03-25,2020-03-25,2020-03-23,2020-03-25,2020-03-25,2020-03-25,2020-03-25,2020-03-25,
17,2020-03-16,2020-03-16,2020-03-21,2020-03-21,2020-03-17,2020-03-16,2020-03-21,2020-03-13,2020-03-21,2020-03-16,
18,2020-03-16,2020-03-16,2020-03-24,2020-03-24,2020-03-19,2020-03-16,2020-03-23,2020-03-24,2020-03-23,2020-03-23,
19,2020-03-17,2020-03-17,2020-03-17,2020-03-17,2020-03-16,2020-03-17,2020-03-17,,,2020-03-17,
20,2020-03-17,2020-03-17,2020-03-24,2020-03-24,2020-03-17,2020-03-30,2020-03-30,2020-03-24,2020-03-30,2020-04-07,
21,2020-03-11,2020-03-19,2020-03-19,2020-03-19,2020-03-16,2020-03-17,2020-03-17,2020-03-17,2020-03-25,2020-03-19,
22,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
23,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-04-02,2020-03-18,2020-03-25,2020-03-25,2020-04-02,2020-03-18,
24,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,,2020-03-30,2020-03-19,
25,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-17,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
26,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
27,,,,,2020-03-18,2020-03-27,2020-03-27,2020-03-27,2020-03-27,,
